infections,deaths,infecteds
5,0,4
7,0,6
7,0,6
7,0,6
9,0,8
14,0,13
16,0,15
17,0,16
21,0,20
24,0,23
27,0,26
34,0,33
38,0,37
43,0,42
46,0,45
49,0,48
56,0,55
58,0,59
57,0,60
62,0,66
67,0,71
70,0,76
74,0,81
78,0,85
77,0,87
82,0,95
85,0,99
88,0,102
91,0,108
93,0,116
98,1,125
106,1,134
108,2,137
110,2,141
129,2,159
135,2,168
141,2,177
144,2,181
160,3,199
170,3,213
172,3,223
175,4,229
187,4,242
198,5,256
198,5,261
212,5,273
223,5,288
221,5,300
217,5,305
224,5,314
233,5,326
240,6,343
244,8,359
243,8,365
251,8,375
249,8,389
255,8,406
269,9,419
274,9,431
275,9,441
282,10,458
301,11,478
306,12,489
308,12,504
316,13,518
326,14,534
356,14,560
359,14,574
357,14,585
349,16,597
364,16,619
374,16,637
388,16,657
396,16,667
402,18,683
411,19,702
413,19,712
429,22,739
442,23,761
446,23,781
449,24,791
458,24,811
463,26,839
465,29,855
462,29,870
472,32,886
499,34,912
506,36,936
515,38,956
518,39,968
524,42,990
528,42,1014
546,42,1036
551,43,1052
556,46,1075
560,47,1102
566,47,1122
589,47,1145
607,48,1172
617,49,1195
620,50,1213
641,53,1242
654,54,1261
688,56,1298
699,56,1326
699,59,1341
712,60,1362
739,61,1403
753,63,1435
752,63,1449
756,66,1464
761,67,1488
783,71,1527
802,72,1553
790,73,1566
795,76,1589
818,77,1632
836,78,1654
836,80,1672
837,82,1701
838,83,1729
843,84,1763
843,85,1785
852,86,1809
857,87,1837
866,89,1866
876,91,1885
885,92,1908
902,93,1936
898,94,1960
909,95,1981
893,97,1996
892,97,2020
872,98,2046
877,100,2073
880,102,2092
876,104,2111
888,106,2136
895,107,2153
913,108,2187
909,108,2201
888,111,2211
883,115,2236
885,115,2263
896,119,2287
894,120,2301
883,122,2309
884,124,2327
893,125,2343
926,126,2368
926,129,2379
905,130,2391
896,132,2400
916,133,2409
909,135,2425
886,136,2437
872,137,2447
853,139,2452
864,139,2453
871,141,2462
858,145,2471
847,147,2475
829,149,2480
831,150,2482
828,151,2487
818,153,2491
786,154,2493
768,157,2495
766,160,2500
757,160,2502
737,164,2505
739,164,2506
731,168,2509
732,168,2511
722,171,2512
708,173,2516
702,175,2520
708,177,2522
703,178,2523
700,179,2523
687,181,2524
682,183,2524
673,185,2524
679,187,2525
690,189,2525
686,191,2525
682,193,2525
679,194,2525
667,195,2525
651,197,2525
658,199,2525
656,200,2525
657,202,2525
659,205,2525
652,205,2525
650,209,2525
643,209,2525
642,213,2525
641,213,2525
641,216,2525
644,218,2525
631,220,2525
630,223,2525
624,223,2525
623,224,2525
633,224,2525
624,224,2525
632,226,2525
631,228,2525
627,230,2525
624,231,2525
630,232,2525
623,234,2525
623,235,2525
615,236,2525
607,237,2525
601,238,2525
594,239,2525
589,239,2525
585,240,2525
574,244,2525
592,245,2525
588,247,2525
590,249,2525
586,249,2525
575,249,2525
572,252,2525
574,254,2525
574,254,2525
576,256,2525
579,256,2525
574,258,2525
571,260,2525
562,261,2525
561,261,2525
563,262,2525
547,263,2525
550,263,2525
538,264,2525
549,265,2525
555,268,2525
554,269,2525
546,271,2525
553,271,2525
552,271,2525
546,274,2525
534,275,2525
521,276,2525
516,276,2525
525,276,2525
520,277,2525
523,279,2525
528,279,2525
534,279,2525
530,281,2525
541,282,2525
532,283,2525
522,284,2525
522,284,2525
508,285,2525
506,286,2525
493,287,2525
492,289,2525
489,291,2525
502,292,2525
502,293,2525
505,297,2525
505,297,2525
495,297,2525
496,297,2525
493,298,2525
491,298,2525
486,299,2525
483,300,2525
479,302,2525
472,303,2525
471,303,2525
482,305,2525
485,305,2525
501,307,2525
497,307,2525
488,308,2525
483,308,2525
481,313,2525
474,314,2525
475,315,2525
479,317,2525
474,319,2525
482,319,2525
471,325,2525
481,326,2525
480,327,2525
488,328,2525
497,328,2525
483,329,2525
492,329,2525
483,329,2525
478,329,2525
469,330,2525
463,330,2525
471,330,2525
485,332,2525
486,332,2525
491,332,2525
489,332,2525
483,334,2525
497,334,2525
499,334,2525
490,334,2525
493,335,2525
486,337,2525
488,337,2525
480,338,2525
474,340,2525
477,340,2525
480,341,2525
487,343,2525
478,344,2525
469,344,2525
466,347,2525
462,348,2525
461,349,2525
459,351,2525
461,354,2525
453,354,2525
447,354,2525
433,355,2525
429,355,2525
426,357,2525
429,357,2525
417,358,2525
418,358,2525
411,358,2525
399,359,2525
401,359,2525
400,361,2525
396,361,2525
389,363,2525
385,363,2525
384,365,2525
392,367,2525
376,369,2525
374,370,2525
378,371,2525
382,372,2525
378,372,2525
366,373,2525
362,373,2525
372,374,2525
375,375,2525
379,376,2525
380,377,2525
373,380,2525
381,383,2525
377,383,2525
370,383,2525
368,384,2525
359,386,2525
360,388,2525
361,390,2525
366,390,2525
359,390,2525
367,393,2525
370,393,2525
381,395,2525
